ID,Name,Age,Email,Score
SV008,Bùi Thị Hương,20,huong.bt@student.edu.vn,9.00
SV015,Dương Văn Quang,19,quang.dv@student.edu.vn,8.30
SV020,Hoàng Thị Xuân,20,xuan.ht@student.edu.vn,7.90
SV005,Hoàng Văn Én,20,en.hv@student.edu.vn,5.80
SV018,Lê Thị Uyên,22,uyen.lt@student.edu.vn,8.70
SV003,Lê Văn Cường,19,cuong.lv@student.edu.vn,9.20
SV013,Lý Văn Oa,22,oa.lv@student.edu.vn,9.50
SV009,Ngộ Văn Khoa,22,khoa.nv@student.edu.vn,4.50
SV017,Nguyễn Thị Tâm,20,tam.nt@student.edu.vn,6.00
SV001,Nguyễn Văn An,20,an.nv@student.edu.vn,8.50
SV012,Phan Thị Nhi,20,nhi.pt@student.edu.vn,6.80
SV004,Phạm Thị Dung,22,dung.pt@student.edu.vn,6.50
SV019,Phạm Văn Vinh,21,vinh.pv@student.edu.vn,9.10
SV011,Trương Văn Minh,21,minh.tv@student.edu.vn,7.00
SV002,Trần Thị Bình,21,binh.tt@student.edu.vn,7.80
SV016,Trần Văn Sang,21,sang.tv@student.edu.vn,7.50
SV014,Võ Thị Phượng,23,phuongvo.vt@student.edu.vn,5.20
SV006,Vũ Thị Phương,21,phuong.vt@student.edu.vn,8.00
SV010,Đặng Thị Lan,19,lan.dt@student.edu.vn,8.80
SV007,Đỗ Văn Giang,23,giang.dv@student.edu.vn,7.20
